image_id,category,question,question_type,ground_truth
187362,person,Is there a person in this image? Answer yes or no.,present,yes
187362,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
187362,cow,Is there a cow in this image? Answer yes or no.,absent_random,no
362520,person,Is there a person in this image? Answer yes or no.,present,yes
362520,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
362520,book,Is there a book in this image? Answer yes or no.,absent_random,no
369323,tennis racket,Is there a tennis racket in this image? Answer yes or no.,present,yes
369323,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
369323,horse,Is there a horse in this image? Answer yes or no.,absent_random,no
558421,person,Is there a person in this image? Answer yes or no.,present,yes
558421,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
558421,vase,Is there a vase in this image? Answer yes or no.,absent_random,no
274066,person,Is there a person in this image? Answer yes or no.,present,yes
274066,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
274066,mouse,Is there a mouse in this image? Answer yes or no.,absent_random,no
291619,person,Is there a person in this image? Answer yes or no.,present,yes
291619,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
291619,surfboard,Is there a surfboard in this image? Answer yes or no.,absent_random,no
61268,handbag,Is there a handbag in this image? Answer yes or no.,present,yes
61268,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
61268,parking meter,Is there a parking meter in this image? Answer yes or no.,absent_random,no
33005,tennis racket,Is there a tennis racket in this image? Answer yes or no.,present,yes
33005,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
33005,motorcycle,Is there a motorcycle in this image? Answer yes or no.,absent_random,no
481573,person,Is there a person in this image? Answer yes or no.,present,yes
481573,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
481573,keyboard,Is there a keyboard in this image? Answer yes or no.,absent_random,no
32334,wine glass,Is there a wine glass in this image? Answer yes or no.,present,yes
32334,handbag,Is there a handbag in this image? Answer yes or no.,absent_adversarial,no
32334,frisbee,Is there a frisbee in this image? Answer yes or no.,absent_random,no
293200,person,Is there a person in this image? Answer yes or no.,present,yes
293200,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
293200,bird,Is there a bird in this image? Answer yes or no.,absent_random,no
62355,person,Is there a person in this image? Answer yes or no.,present,yes
62355,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
62355,kite,Is there a kite in this image? Answer yes or no.,absent_random,no
364322,sheep,Is there a sheep in this image? Answer yes or no.,present,yes
364322,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
364322,bus,Is there a bus in this image? Answer yes or no.,absent_random,no
802,refrigerator,Is there a refrigerator in this image? Answer yes or no.,present,yes
802,bottle,Is there a bottle in this image? Answer yes or no.,absent_adversarial,no
802,bench,Is there a bench in this image? Answer yes or no.,absent_random,no
568439,bus,Is there a bus in this image? Answer yes or no.,present,yes
568439,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
568439,bird,Is there a bird in this image? Answer yes or no.,absent_random,no
542856,person,Is there a person in this image? Answer yes or no.,present,yes
542856,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
542856,hair drier,Is there a hair drier in this image? Answer yes or no.,absent_random,no
80659,person,Is there a person in this image? Answer yes or no.,present,yes
80659,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
80659,zebra,Is there a zebra in this image? Answer yes or no.,absent_random,no
468925,banana,Is there a banana in this image? Answer yes or no.,present,yes
468925,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
468925,bottle,Is there a bottle in this image? Answer yes or no.,absent_random,no
168337,suitcase,Is there a suitcase in this image? Answer yes or no.,present,yes
168337,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
168337,sports ball,Is there a sports ball in this image? Answer yes or no.,absent_random,no
259597,person,Is there a person in this image? Answer yes or no.,present,yes
259597,car,Is there a car in this image? Answer yes or no.,absent_adversarial,no
259597,orange,Is there a orange in this image? Answer yes or no.,absent_random,no
8899,bicycle,Is there a bicycle in this image? Answer yes or no.,present,yes
8899,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
8899,sheep,Is there a sheep in this image? Answer yes or no.,absent_random,no
154087,person,Is there a person in this image? Answer yes or no.,present,yes
154087,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
154087,airplane,Is there a airplane in this image? Answer yes or no.,absent_random,no
135890,person,Is there a person in this image? Answer yes or no.,present,yes
135890,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
135890,backpack,Is there a backpack in this image? Answer yes or no.,absent_random,no
440336,person,Is there a person in this image? Answer yes or no.,present,yes
440336,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
440336,pizza,Is there a pizza in this image? Answer yes or no.,absent_random,no
66635,remote,Is there a remote in this image? Answer yes or no.,present,yes
66635,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
66635,stop sign,Is there a stop sign in this image? Answer yes or no.,absent_random,no
166563,elephant,Is there a elephant in this image? Answer yes or no.,present,yes
166563,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
166563,cake,Is there a cake in this image? Answer yes or no.,absent_random,no
564023,toilet,Is there a toilet in this image? Answer yes or no.,present,yes
564023,sink,Is there a sink in this image? Answer yes or no.,absent_adversarial,no
564023,tv,Is there a tv in this image? Answer yes or no.,absent_random,no
32817,person,Is there a person in this image? Answer yes or no.,present,yes
32817,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
32817,banana,Is there a banana in this image? Answer yes or no.,absent_random,no
192670,sports ball,Is there a sports ball in this image? Answer yes or no.,present,yes
192670,handbag,Is there a handbag in this image? Answer yes or no.,absent_adversarial,no
192670,bowl,Is there a bowl in this image? Answer yes or no.,absent_random,no
125806,cow,Is there a cow in this image? Answer yes or no.,present,yes
125806,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
125806,knife,Is there a knife in this image? Answer yes or no.,absent_random,no
13546,bench,Is there a bench in this image? Answer yes or no.,present,yes
13546,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
13546,spoon,Is there a spoon in this image? Answer yes or no.,absent_random,no
66706,banana,Is there a banana in this image? Answer yes or no.,present,yes
66706,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
66706,toaster,Is there a toaster in this image? Answer yes or no.,absent_random,no
110999,person,Is there a person in this image? Answer yes or no.,present,yes
110999,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
110999,book,Is there a book in this image? Answer yes or no.,absent_random,no
52565,cow,Is there a cow in this image? Answer yes or no.,present,yes
52565,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
52565,motorcycle,Is there a motorcycle in this image? Answer yes or no.,absent_random,no
170893,dog,Is there a dog in this image? Answer yes or no.,present,yes
170893,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
170893,truck,Is there a truck in this image? Answer yes or no.,absent_random,no
464522,dog,Is there a dog in this image? Answer yes or no.,present,yes
464522,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
464522,clock,Is there a clock in this image? Answer yes or no.,absent_random,no
530624,dog,Is there a dog in this image? Answer yes or no.,present,yes
530624,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
530624,parking meter,Is there a parking meter in this image? Answer yes or no.,absent_random,no
235064,bear,Is there a bear in this image? Answer yes or no.,present,yes
235064,bird,Is there a bird in this image? Answer yes or no.,absent_adversarial,no
235064,potted plant,Is there a potted plant in this image? Answer yes or no.,absent_random,no
241677,horse,Is there a horse in this image? Answer yes or no.,present,yes
241677,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
241677,sheep,Is there a sheep in this image? Answer yes or no.,absent_random,no
456292,bottle,Is there a bottle in this image? Answer yes or no.,present,yes
456292,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
456292,dog,Is there a dog in this image? Answer yes or no.,absent_random,no
116208,chair,Is there a chair in this image? Answer yes or no.,present,yes
116208,car,Is there a car in this image? Answer yes or no.,absent_adversarial,no
116208,bird,Is there a bird in this image? Answer yes or no.,absent_random,no
568814,tie,Is there a tie in this image? Answer yes or no.,present,yes
568814,car,Is there a car in this image? Answer yes or no.,absent_adversarial,no
568814,cell phone,Is there a cell phone in this image? Answer yes or no.,absent_random,no
6894,elephant,Is there a elephant in this image? Answer yes or no.,present,yes
6894,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
6894,cell phone,Is there a cell phone in this image? Answer yes or no.,absent_random,no
565853,bottle,Is there a bottle in this image? Answer yes or no.,present,yes
565853,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
565853,pizza,Is there a pizza in this image? Answer yes or no.,absent_random,no
482487,clock,Is there a clock in this image? Answer yes or no.,present,yes
